termo_cientifico,definicao_simples,definicao_tecnica,unidade_medida_relacionada,fonte_dados,status_validacao
Exoplaneta,"Um exoplaneta, ou planeta extrassolar, é qualquer mundo que orbita uma estrela diferente do nosso Sol, encontrando-se fora do nosso Sistema Solar. Desde a primeira descoberta confirmada na década de 1990, milhares foram identificados, variando desde gigantes gasosos maiores que Júpiter até pequenos mundos rochosos do tamanho da Terra, alguns com potencial para abrigar vida.","Corpo de massa sub-estelar (< 13 massas de Júpiter) que orbita uma estrela, remanescente estelar ou anã marrom, sem pressão e temperatura suficientes para sustentar fusão nuclear de deutério em seu núcleo.",Massas Terrestres (M⊕) / Massas Jovianas (MJ),IAU (International Astronomical Union) / NASA Exoplanet Archive,Validado
Parsec (pc),"O parsec é uma das unidades de medida de distância mais usadas pelos astrônomos profissionais para mapear o espaço profundo. Ele equivale a cerca de 3,26 anos-luz (ou 30 trilhões de quilômetros). A palavra é uma abreviação de 'paralaxe de um segundo', referindo-se a um método trigonométrico de medir distâncias estelares.",Distância na qual o raio da órbita da Terra (1 Unidade Astronômica) subtende um ângulo de paralaxe de exatamente um segundo de arco. 1 pc ≈ 3.085677581 × 10^16 metros.,pc / kpc / Mpc,IAU (International Astronomical Union),Validado
Método de Trânsito,"É a técnica mais bem-sucedida da atualidade para encontrar exoplanetas, usada por telescópios como Kepler e TESS. Ela consiste em observar fixamente uma estrela e medir minúsculas quedas regulares no seu brilho, que ocorrem quando um planeta passa (transita) exatamente na frente dela, bloqueando uma fração de sua luz.","Detecção indireta via fotometria de alta precisão que quantifica o decréscimo periódico no fluxo luminoso estelar, permitindo calcular o raio orbital, o raio do planeta e a inclinação orbital.",Variação de Magnitude / Curva de Luz (%),NASA Exoplanet Science Institute,Validado
Espectroscopia de Transmissão,"É a técnica que permite descobrir do que é feito o ar de mundos alienígenas. Quando um exoplaneta passa em frente à sua estrela, a luz estelar atravessa a atmosfera do planeta. Os gases presentes ali (como água ou metano) absorvem cores específicas da luz, deixando uma 'impressão digital' no espectro que os telescópios capturam e analisam.","Análise da variação do fluxo estelar dependente do comprimento de onda durante um trânsito. As assinaturas de absorção refletem a composição química, nuvens e opacidade atmosférica do exoplaneta.",Profundidade de trânsito espectral (ppm),Astrofísica Exoplanetária / James Webb Space Telescope (NASA/ESA),Validado
Velocidade Radial,"Também conhecida como 'método do bamboleio', esta técnica detecta exoplanetas observando a influência gravitacional que eles exercem sobre suas estrelas. O planeta puxa a estrela levemente para frente e para trás, causando uma mudança na cor da luz emitida pela estrela (efeito Doppler), revelando não só a presença do planeta, mas a sua massa.","Medição astrométrica do desvio Doppler (redshift/blueshift) nas linhas espectrais de uma estrela, provocado pela oscilação no centro de massa (baricentro) do sistema estelar-planetário.",m/s (metros por segundo),Observatório Europeu do Sul (ESO) / HARPS,Validado
Zona Habitável,"Também chamada de 'Zona Cachinhos Dourados', é a região ao redor de uma estrela onde não é nem quente nem frio demais. Se um planeta rochoso estiver localizado nessa faixa de distância, ele poderá manter água em estado líquido em sua superfície, o que é considerado o pré-requisito fundamental para a vida como a conhecemos.","Intervalo de distâncias orbitais de uma estrela onde o fluxo de radiação mantém a temperatura de equilíbrio planetário entre 273 K e 373 K, assumindo pressão atmosférica adequada.",Unidades Astronômicas (AU),Planetary Habitability Laboratory (PHL),Validado
Teoria da Relatividade Geral,"Formulada por Albert Einstein em 1915, esta teoria revolucionou a ciência ao propor que a gravidade não é apenas uma força de atração invisível, mas sim a curvatura do próprio tecido do espaço e do tempo (espaço-tempo). Corpos massivos, como estrelas, criam 'buracos' nesse tecido, ditando o caminho que os planetas e a própria luz devem seguir.","Teoria geométrica da gravitação onde a curvatura do espaço-tempo está diretamente relacionada à energia e ao momento da matéria e radiação, descrita rigorosamente pelas Equações de Campo de Einstein.",N/A (Geometria do Espaço-Tempo),Artigos Originais de Albert Einstein (1915) / Fundamentos de Astrofísica,Validado
Buraco Negro,"Um buraco negro é uma região do cosmos onde a gravidade é tão violenta que nada, absolutamente nada, incluindo a luz, consegue escapar de sua atração. Eles costumam nascer do colapso de estrelas gigantes que morreram e explodiram. O limite invisível em torno dele é chamado de 'horizonte de eventos', o ponto sem volta.","Solução das equações de Einstein caracterizada por uma singularidade gravitacional central (ou anel, em buracos negros em rotação) cercada por um horizonte de eventos onde a velocidade de escape excede c (velocidade da luz).",Massas Solares (M☉),Observatório de Raios-X Chandra / Event Horizon Telescope (EHT),Validado
Ondas Gravitacionais,"As ondas gravitacionais são ondulações invisíveis que viajam à velocidade da luz, comprimindo e esticando o espaço-tempo por onde passam. Elas são geradas pelos eventos mais violentos do universo, como a colisão de dois buracos negros ou estrelas de nêutrons. Detectá-las permite 'ouvir' o cosmos de uma forma totalmente nova.","Perturbações na métrica do espaço-tempo que se propagam como ondas transversais, geradas por massas submetidas à aceleração não-esférica e possuindo momento de quadrupolo não nulo.","Amplitude de deformação (Strain, sem dimensão)",Colaboração LIGO-Virgo-KAGRA,Validado
Matéria Escura,"A matéria escura é uma substância fantasma que compõe cerca de 27% do universo. Ela não emite, reflete ou bloqueia a luz, tornando-a totalmente invisível. Contudo, os cientistas sabem que ela existe porque sua imensa gravidade age como uma cola invisível, impedindo que as galáxias girem rápido demais e se despedacem pelo espaço.","Forma teórica de matéria não-bariônica que interage muito fracamente com a força eletromagnética. Sua presença é inferida pelas curvas de rotação galáctica, lentes gravitacionais e anisotropias da radiação de fundo.",Massa-energia cosmológica (Ωc),Modelo Cosmológico Lambda-CDM / ESA Planck,Validado
